順位,曲名,アーティスト
1,好きすぎて滅！,M!LK
2,怪獣の花唄,Vaundy
3,マリーゴールド,あいみょん
4,伯方の塩,塩谷信廣
5,残酷な天使のテーゼ,高橋洋子
6,水平線,back number
7,さよならエレジー,菅田将暉
8,ダーリン,Mrs. GREEN APPLE
9,サウダージ,ポルノグラフィティ
10,ドライフラワー,優里
11,高嶺の花子さん,back number
12,点描の唄(feat.井上苑子),Mrs. GREEN APPLE
13,恋人ごっこ,マカロニえんぴつ
14,小さな恋のうた,MONGOL800
15,奏(かなで),スキマスイッチ
16,ひまわりの約束,秦 基博
17,ライラック,Mrs. GREEN APPLE
18,チェリー,スピッツ
19,爆裂愛してる,M!LK
20,カブトムシ,aiko
21,キセキ,GReeeeN
22,愛をこめて花束を,Superfly
23,とくべチュ、して,=LOVE
24,366日,HY
25,アゲハ蝶,ポルノグラフィティ
26,IRIS OUT,米津玄師
27,Story,AI
28,丸の内サディスティック,椎名林檎
29,ハナミズキ,一青 窈
30,花束,back number
31,シングルベッド,シャ乱Q
32,ケセラセラ,Mrs. GREEN APPLE
33,スパークル (movie ver.),RADWIMPS
34,革命道中,アイナ･ジ･エンド
35,恋,back number
36,KissHug,aiko
37,愛のかたまり,KinKi Kids
38,ブルーアンバー,back number
39,夜の踊り子,サカナクション
40,アイノカタチ feat.HIDE(GReeeeN),MISIA
41,Yes! 東京,EBiDAN (恵比寿学園男子部)
42,HOT LIMIT,T.M.Revolution
43,Lemon,米津玄師
44,イケナイ太陽,ORANGE RANGE
45,青と夏,Mrs. GREEN APPLE
46,最後の雨,中西保志
47,わたがし,back number
48,シャルル,バルーン
49,大阪LOVER,DREAMS COME TRUE
50,Pretender,Official髭男dism
51,島人ぬ宝,BEGIN
52,糸,中島みゆき
53,歌うたいのバラッド,斉藤和義
54,世界が終るまでは…,WANDS
55,Brand New,Mrs. GREEN APPLE
56,ハッピーエンド,back number
57,シンデレラボーイ,Saucy Dog
58,チェックのワンピース,back number
59,Soranji,Mrs. GREEN APPLE
60,晩餐歌,tuki.
61,幸せ,back number
62,怪獣,サカナクション
63,虹,菅田将暉
64,シルエット,KANA-BOON
65,裸の心,あいみょん
66,タッチ,岩崎良美
67,ハレンチ,ちゃんみな
68,ただ君に晴れ,ヨルシカ
69,クリスマスソング,back number
70,花束のかわりにメロディーを,清水翔太
71,secret base～君がくれたもの～,ZONE
72,いとしのエリー,サザンオールスターズ
73,雪月花,ヤングスキニー
74,115万キロのフィルム,Official髭男dism
75,I LOVE YOU,尾崎豊
76,3月9日,レミオロメン
77,夢をかなえてドラえもん,mao
78,気まぐれロマンティック,いきものがかり
79,真夏の果実,サザンオールスターズ
80,ヒロイン,back number
81,魔法の絨毯,川崎鷹也
82,トリセツ,西野カナ
83,サクラウサギ,川崎鷹也
83,かわいいだけじゃだめですか？,CUTIE STREET
85,夏祭り,Whiteberry
86,チャンカパーナ,NEWS
87,君はロックを聴かない,あいみょん
88,Love so sweet,嵐
89,#情とは,This is LAST
90,眠り姫,SEKAI NO OWARI
91,Blue Jeans,HANA
92,新宝島,サカナクション
93,TSUNAMI,サザンオールスターズ
94,RPG,SEKAI NO OWARI
95,HANABI,Mr.Children
96,猫,DISH//
97,プラネタリウム,大塚 愛
98,天体観測,BUMP OF CHICKEN
99,First Love,宇多田ヒカル
100,ビリミリオン,優里
