順位,曲名,アーティスト
1,好きすぎて滅！,M!LK
2,怪獣の花唄,Vaundy
3,ダーリン,Mrs. GREEN APPLE
4,残酷な天使のテーゼ,高橋洋子
5,さよならエレジー,菅田将暉
6,マリーゴールド,あいみょん
7,サウダージ,ポルノグラフィティ
8,水平線,back number
9,ドライフラワー,優里
10,奏(かなで),スキマスイッチ
11,高嶺の花子さん,back number
12,爆裂愛してる,M!LK
13,ライラック,Mrs. GREEN APPLE
14,シングルベッド,シャ乱Q
15,IRIS OUT,米津玄師
16,とくべチュ、して,=LOVE
17,愛のかたまり,KinKi Kids
18,ハナミズキ,一青 窈
19,チェリー,スピッツ
20,恋人ごっこ,マカロニえんぴつ
21,小さな恋のうた,MONGOL800
22,点描の唄(feat.井上苑子),Mrs. GREEN APPLE
23,革命道中,アイナ･ジ･エンド
24,ひまわりの約束,秦 基博
25,カブトムシ,aiko
26,最後の雨,中西保志
27,Story,AI
28,丸の内サディスティック,椎名林檎
29,花束,back number
30,アイノカタチ feat.HIDE(GReeeeN),MISIA
31,夜の踊り子,サカナクション
32,366日,HY
33,愛をこめて花束を,Superfly
34,ケセラセラ,Mrs. GREEN APPLE
35,タッチ,岩崎良美
36,糸,中島みゆき
37,怪獣,サカナクション
38,世界が終るまでは…,WANDS
39,アゲハ蝶,ポルノグラフィティ
40,ハレンチ,ちゃんみな
41,Lemon,米津玄師
42,lulu.,Mrs. GREEN APPLE
43,I LOVE YOU,尾崎豊
44,キセキ,GReeeeN
45,歌うたいのバラッド,斉藤和義
46,島人ぬ宝,BEGIN
47,イケナイ太陽,ORANGE RANGE
48,Soranji,Mrs. GREEN APPLE
49,チェックのワンピース,back number
50,シルエット,KANA-BOON
51,シャルル,バルーン
52,大阪LOVER,DREAMS COME TRUE
53,チャンカパーナ,NEWS
54,Pretender,Official髭男dism
55,ハッピーエンド,back number
56,青と夏,Mrs. GREEN APPLE
57,恋,back number
58,KissHug,aiko
59,メロディー,玉置浩二
60,First Love,宇多田ヒカル
61,TSUNAMI,サザンオールスターズ
62,3月9日,レミオロメン
63,花束のかわりにメロディーを,清水翔太
64,眠り姫,SEKAI NO OWARI
65,シンデレラボーイ,Saucy Dog
66,ray,BUMP OF CHICKEN
67,黒毛和牛上塩タン焼680円,大塚 愛
68,サクラウサギ,川崎鷹也
69,ブルーアンバー,back number
70,Love so sweet,嵐
71,HANABI,Mr.Children
72,雪月花,ヤングスキニー
73,アイネクライネ,米津玄師
74,気まぐれロマンティック,いきものがかり
75,新宝島,サカナクション
76,僕のこと,Mrs. GREEN APPLE
77,倍倍FIGHT!,CANDY TUNE
78,幸せ,back number
79,栄光の架橋,ゆず
80,虹,菅田将暉
80,ヒロイン,back number
82,ただ君に晴れ,ヨルシカ
83,unravel,TK from 凛として時雨
84,猫,DISH//
85,ファンファーレ,玉置浩二
86,未来予想図Ⅱ,DREAMS COME TRUE
87,愛のうた,倖田來未
88,裸の心,あいみょん
89,DAN DAN 心魅かれてく,FIELD OF VIEW
90,魔法の絨毯,川崎鷹也
91,わたがし,back number
92,津軽海峡・冬景色,石川さゆり
93,インフェルノ,Mrs. GREEN APPLE
94,真夏の果実,サザンオールスターズ
95,ピースサイン,米津玄師
96,明日晴れるかな,桑田佳祐
97,ロビンソン,スピッツ
98,Blue Jeans,HANA
99,赤い糸,コブクロ
100,#情とは,This is LAST
