順位,曲名,アーティスト
1,マリーゴールド,あいみょん
2,怪獣の花唄,Vaundy
3,好きすぎて滅！,M!LK
4,残酷な天使のテーゼ,高橋洋子
5,さよならエレジー,菅田将暉
6,ダーリン,Mrs. GREEN APPLE
7,サウダージ,ポルノグラフィティ
8,水平線,back number
9,ドライフラワー,優里
10,高嶺の花子さん,back number
11,奏(かなで),スキマスイッチ
12,伯方の塩,塩谷信廣
13,チェリー,スピッツ
14,カブトムシ,aiko
15,点描の唄(feat.井上苑子),Mrs. GREEN APPLE
16,シングルベッド,シャ乱Q
17,恋人ごっこ,マカロニえんぴつ
18,小さな恋のうた,MONGOL800
19,ひまわりの約束,秦 基博
20,とくべチュ、して,=LOVE
21,愛のかたまり,KinKi Kids
22,ハナミズキ,一青 窈
23,Story,AI
24,366日,HY
25,最後の雨,中西保志
26,ライラック,Mrs. GREEN APPLE
27,爆裂愛してる,M!LK
28,花束,back number
29,KissHug,aiko
30,丸の内サディスティック,椎名林檎
31,愛をこめて花束を,Superfly
32,アイノカタチ feat.HIDE(GReeeeN),MISIA
33,ブルーアンバー,back number
34,キセキ,GReeeeN
35,糸,中島みゆき
36,アゲハ蝶,ポルノグラフィティ
37,世界が終るまでは…,WANDS
38,いとしのエリー,サザンオールスターズ
39,Lemon,米津玄師
40,イケナイ太陽,ORANGE RANGE
41,わたがし,back number
42,島人ぬ宝,BEGIN
43,革命道中,アイナ･ジ･エンド
44,歌うたいのバラッド,斉藤和義
45,大阪LOVER,DREAMS COME TRUE
46,ケセラセラ,Mrs. GREEN APPLE
47,HOT LIMIT,T.M.Revolution
48,IRIS OUT,米津玄師
49,恋,back number
50,I LOVE YOU,尾崎豊
51,タッチ,岩崎良美
52,シャルル,バルーン
53,Pretender,Official髭男dism
54,真夏の果実,サザンオールスターズ
55,TSUNAMI,サザンオールスターズ
56,secret base～君がくれたもの～,ZONE
57,チェックのワンピース,back number
58,Yes! 東京,EBiDAN (恵比寿学園男子部)
59,青と夏,Mrs. GREEN APPLE
60,ハッピーエンド,back number
61,Soranji,Mrs. GREEN APPLE
62,シンデレラボーイ,Saucy Dog
63,花束のかわりにメロディーを,清水翔太
64,メロディー,玉置浩二
65,HANABI,Mr.Children
66,ハレンチ,ちゃんみな
67,眠り姫,SEKAI NO OWARI
68,怪獣,サカナクション
69,サクラウサギ,川崎鷹也
70,unravel,TK from 凛として時雨
71,虹,菅田将暉
72,Brand New,Mrs. GREEN APPLE
73,シルエット,KANA-BOON
74,#情とは,This is LAST
75,気まぐれロマンティック,いきものがかり
76,裸の心,あいみょん
77,First Love,宇多田ヒカル
78,スパークル (movie ver.),RADWIMPS
79,幸せ,back number
80,アイネクライネ,米津玄師
81,猫,DISH//
82,プラネタリウム,大塚 愛
83,ただ君に晴れ,ヨルシカ
84,Love so sweet,嵐
85,愛唄,GReeeeN
86,クリスマスソング,back number
87,君が代,国歌
88,三日月,絢香
89,チャンカパーナ,NEWS
90,115万キロのフィルム,Official髭男dism
91,愛のうた,倖田來未
92,栄光の架橋,ゆず
93,ヒロイン,back number
94,ロビンソン,スピッツ
95,津軽海峡・冬景色,石川さゆり
96,雪月花,ヤングスキニー
97,今更だって僕は言うかな,Saucy Dog
98,天体観測,BUMP OF CHICKEN
99,赤い糸,コブクロ
100,未来予想図Ⅱ,DREAMS COME TRUE
